Fracción;Uso;Impuesto importación
0808 - Manzanas, peras y membrillos, frescos;Peras para perada, a granel, del 1 de agosto al 31 de diciembre;7,2 MIN 0,36 €/ 100 kg/net
0808 - Manzanas, peras y membrillos, frescos;Demas Peras;Impuesto sujeto a precio de entrada.
0808 - Manzanas, peras y membrillos, frescos;Membrillos;7,20%
"0809 - Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (inclui
dos los griñones y nectarinas), ciruelas y endrinas, frescos";Albaricoques (damascos, chabacanos);Impuesto sujeto a precio de entrada.
"0809 - Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (inclui
dos los griñones y nectarinas), ciruelas y endrinas, frescos";Guindas (cerezas ácidas) (Prunus cerasus);Impuesto sujeto a precio de entrada.
"0809 - Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (inclui
dos los griñones y nectarinas), ciruelas y endrinas, frescos";Demas Cerezas;Impuesto sujeto a precio de entrada.
"0809 - Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (inclui
dos los griñones y nectarinas), ciruelas y endrinas, frescos";Griñones y nectarinas;Impuesto sujeto a precio de entrada.
"0809 - Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (inclui
dos los griñones y nectarinas), ciruelas y endrinas, frescos";Demas melocotones;Impuesto sujeto a precio de entrada.
"0809 - Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (inclui
dos los griñones y nectarinas), ciruelas y endrinas, frescos";Ciruales ;Impuesto sujeto a precio de entrada.
"0809 - Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (inclui
dos los griñones y nectarinas), ciruelas y endrinas, frescos";Endrinas;12%
0810 - Las demás frutas u otros frutos, frescos;Fresas;— Del 1 de enero al 30 de abril: 11,2. — Del 1 de mayo al 31 de julio: 12,8 MIN 2,4 €/100 kg/neto. — Del 1 de agosto al 31 de diciembre: 11,2.
0810 - Las demás frutas u otros frutos, frescos;Frambuesas;8,80%
0810 - Las demás frutas u otros frutos, frescos;zarzamoras, moras y moras-frambuesa;9,60%
0810 - Las demás frutas u otros frutos, frescos;Grosellas negras (casis);8,80%
0810 - Las demás frutas u otros frutos, frescos;Grosellas rojas;8,80%
0810 - Las demás frutas u otros frutos, frescos;Demás grosellas;9,60%
0810 - Las demás frutas u otros frutos, frescos;Frutos del Vaccinium vitis-idaea (arándanos rojos);exención
0810 - Las demás frutas u otros frutos, frescos;Frutos del Vaccinium myrtillus (arándanos, mirtilos);3,20%
0810 - Las demás frutas u otros frutos, frescos;Frutos del Vaccinium macrocarpon y del Vaccinium corymbosum;3,20%
0810 - Las demás frutas u otros frutos, frescos;Demás Arándanos rojos, mirtilos y demás frutos del género Vaccinium;9,60%
0810 - Las demás frutas u otros frutos, frescos;Kiwis;— Del 1 de enero al 14 de mayo: 8,8. — Del 15 de mayo al 15 de noviembre: 8. — Del 16 de noviembre al 31 de diciembre: 8,8
0810 - Las demás frutas u otros frutos, frescos;Duriones;8,80%
0810 - Las demás frutas u otros frutos, frescos;Caquis (persimonios);8,80%
0810 - Las demás frutas u otros frutos, frescos;Tamarindos, peras de marañón (merey, cajuil, anacardo, cajú), frutos del árbol del pan, litchis, sapotillos, frutos de la pasión, carambolas y pitahayas .;exención
0810 - Las demás frutas u otros frutos, frescos;Resto;8,80%
