Sección;Capítulo;Partida;Subpartida;Fracción;Region ;Pais ;Gasto
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Federación Rusa;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Finlandia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Francia;0,00
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Georgia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Gibraltar;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Grecia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Hungría;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Irlanda;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Islandia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Italia;0,00
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Letonia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Liechtenstein;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Lituania;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Luxemburgo;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Macedonia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Malta;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Moldavia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;No identificados de la U.E.;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Noruega;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Países Bajos;1.055.432,37
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Polonia;
